CASE_NUMBER,CASE_STATUS,CASE_SUBMITTED,DECISION_DATE,VISA_CLASS,EMPLOYMENT_END_DATE,EMPLOYER_NAME,JOB_TITLE,SOC_NAME,TOTAL_WORKERS,NEW_EMPLOYMENT,CONTINUED_EMPLOYMENT,CHANGE_PREVIOUS_EMPLOYMENT,NEW_CONCURRENT_EMPLOYMENT,CHANGE_EMPLOYER,AMENDED_PETITION,WAGE_RATE_OF_PAY_FROM,PREVAILING_WAGE,FULL_TIME_POSITION,PW_UNIT_OF_PAY,PW_SOURCE_YEAR,H1B_DEPENDENT,EMPLOYER_CITY,WORKSITE_CITY,WORKSITE_COUNTY,EMPLOYER_STATE,WORKSITE_STATE,EMPLOYER_LAT,EMPLOYER_LONG,WORKSITE_LAT,WORKSITE_LONG
71,CERTIFIED-WITHDRAWN,11-02-2015,03-10-2016,H-1B,05-08-2018,ERICSSON INC.,APPLICATION DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,65791,62769,Y,Year,2014,N,PLANO,OVERLAND PARK,JOHNSON,TX,KS,33.07707,-96.79859,38.899901,-94.831991
72,CERTIFIED-WITHDRAWN,18-02-2015,03-10-2016,H-1B,15-08-2018,MEDIATEK USA INC.,SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,81000,80153,Y,Year,2015,N,SAN JOSE,SAN JOSE,SANTA CLARA,CA,CA,37.412539,-121.94461,37.412539,-121.94461
73,CERTIFIED-WITHDRAWN,18-02-2015,03-10-2016,H-1B,14-08-2018,MEDIATEK USA INC.,ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,88254,88254,Y,Year,2014,N,SAN JOSE,SAN JOSE,SANTA CLARA,CA,CA,37.412539,-121.94461,37.412539,-121.94461
74,CERTIFIED-WITHDRAWN,18-02-2015,03-10-2016,H-1B,14-08-2018,MEDIATEK USA INC.,MEMBER OF TECHNICAL STAFF,ELECTRICAL ENGINEERS,1,1,0,0,0,0,0,102606,102606,Y,Year,2014,N,SAN JOSE,SAN JOSE,SANTA CLARA,CA,CA,37.412539,-121.94461,37.412539,-121.94461
75,CERTIFIED-WITHDRAWN,19-02-2015,03-10-2016,H-1B,15-08-2018,MEDIATEK USA INC.,SR. MEMBER OF TECHNICAL STAFF,ELECTRICAL ENGINEERS,1,1,0,0,0,0,0,117000,116667,Y,Year,2014,N,SAN JOSE,AUSTIN,TRAVIS,CA,TX,37.412539,-121.94461,30.359935,-97.83125
76,CERTIFIED-WITHDRAWN,19-02-2015,03-10-2016,H-1B,07-08-2018,OOYALA INC.,SOFTWARE ENGINEER II,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,115000,109762,Y,Year,2014,N,SANTA CLARA,SANTA CLARA,SANTA CLARA,CA,CA,37.39324,-121.96066,37.39324,-121.96066
77,CERTIFIED-WITHDRAWN,20-02-2015,03-10-2016,H-1B,22-08-2018,MEDIATEK USA INC.,PARTNER MANAGER,MARKETING MANAGERS,1,1,0,0,0,0,0,114000,111439,Y,Year,2015,N,SAN JOSE,SAN JOSE,SANTA CLARA,CA,CA,37.412539,-121.94461,37.412539,-121.94461
78,CERTIFIED-WITHDRAWN,23-02-2015,03-10-2016,H-1B,13-08-2018,MEDIATEK USA INC.,STAFF ENGINEER,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",1,1,0,0,0,0,0,87000,86507,Y,Year,2014,N,SAN JOSE,AUSTIN,TRAVIS,CA,TX,37.412539,-121.94461,30.359935,-97.83125
79,CERTIFIED-WITHDRAWN,23-02-2015,03-10-2016,H-1B,15-07-2018,HARVARD UNIVERSITY,POSTDOCTORAL FELLOW,"BIOLOGICAL SCIENTISTS, ALL OTHER",1,0,1,0,0,0,0,48192,42702,Y,Year,2014,N,CAMBRIDGE,CAMBRIDGE,MIDDLESEX,MA,MA,42.379146,-71.12803,42.379146,-71.12803
80,CERTIFIED-WITHDRAWN,24-02-2015,03-10-2016,H-1B,23-02-2018,"V-SOFT CONSULTING GROUP, INC",SYSTEMS ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,1,0,0,0,0,47000,46758,Y,Year,2014,Y,LOUISVILLE,CAMP HILL,CUMBERLAND COUNTY,KY,PA,38.258941,-85.55574,40.236139,-76.93084
81,CERTIFIED-WITHDRAWN,02-03-2015,03-10-2016,H-1B,31-07-2018,AARCG INC.,BUSINESS INTELLIGENCE ANALYST,"COMPUTER OCCUPATIONS, ALL OTHER",1,1,0,0,0,0,0,96866,96866,Y,Year,2014,N,ORLANDO,HOBOKEN,HUDSON,FL,NJ,28.463509,-81.47514,40.744851,-74.03294
82,CERTIFIED-WITHDRAWN,10-03-2015,03-10-2016,H-1B,07-09-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,63000,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
83,CERTIFIED-WITHDRAWN,10-03-2015,03-10-2016,H-1B,16-03-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,0,0,1,0,0,0,62866,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
84,CERTIFIED-WITHDRAWN,10-03-2015,03-10-2016,H-1B,07-09-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,63000,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
85,CERTIFIED-WITHDRAWN,10-03-2015,03-10-2016,H-1B,07-09-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,63000,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
86,CERTIFIED-WITHDRAWN,10-03-2015,03-10-2016,H-1B,07-09-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,63000,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
87,CERTIFIED-WITHDRAWN,16-03-2015,03-10-2016,H-1B,07-09-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,63000,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
88,CERTIFIED-WITHDRAWN,16-03-2015,03-10-2016,H-1B,07-09-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,63000,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
89,CERTIFIED-WITHDRAWN,18-03-2015,03-10-2016,H-1B,07-09-2018,TECHTOMIX LLC,PROGRAMMER / ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,63000,60507,Y,Year,2014,N,CONCORD,CONCORD,CABARRUS,NC,NC,35.400407,-80.56574,35.400407,-80.56574
90,CERTIFIED-WITHDRAWN,19-03-2015,03-10-2016,H-1B,15-09-2018,MEDIATEK USA INC.,TECHNICAL WRITER,TECHNICAL WRITERS,1,1,0,0,0,0,0,85000,84594,Y,Year,2014,N,SAN JOSE,SAN JOSE,SANTA CLARA,CA,CA,37.412539,-121.94461,37.412539,-121.94461
91,CERTIFIED-WITHDRAWN,23-03-2015,03-10-2016,H-1B,22-09-2018,WOLFSDORF ROSENTHAL LLP,EB-5 FINANCIAL SPECIALIST,"FINANCIAL SPECIALISTS, ALL OTHER",1,1,0,0,0,0,0,39894,39894,Y,Year,2014,N,SANTA MONICA,SANTA MONICA,LOS ANGELES,CA,CA,34.01491,-118.4922,34.01491,-118.4922
92,CERTIFIED-WITHDRAWN,24-03-2015,03-10-2016,H-1B,14-05-2017,"UNIVERSITY OF MARYLAND, BALTIMORE",RESEARCH SPECIALIST - LABORATORY,BIOLOGICAL TECHNICIANS,1,0,1,0,0,0,0,51576,34778,Y,Year,2014,N,BALTIMORE,BALTIMORE,BALTIMORE CITY,MD,MD,39.295306,-76.62118,39.295306,-76.62118
93,CERTIFIED-WITHDRAWN,25-03-2015,03-10-2016,H-1B,17-09-2018,MEDIATEK USA INC.,TECHNICAL MANAGER,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",1,1,0,0,0,0,0,120000,119746,Y,Year,2014,N,SAN JOSE,AUSTIN,TRAVIS,CA,TX,37.412539,-121.94461,30.359935,-97.83125
94,CERTIFIED-WITHDRAWN,06-04-2015,03-10-2016,H-1B,12-04-2018,"FLUID, INC.",SENIOR TECHNICAL PROJECT MANAGER,"COMPUTER OCCUPATIONS, ALL OTHER",1,0,0,0,0,1,0,100000,96866,Y,Year,2014,N,SAN FRANCISCO,NEW YORK,NEW YORK,CA,NY,37.792678,-122.40793,40.72596,-73.99834
95,CERTIFIED-WITHDRAWN,17-04-2015,03-10-2016,H-1B,02-01-2018,TEXAS A&M ENGINEERING EXPERIMENT STATION,TEES RESEARCH ENGINEERING ASSOCIATE II,MECHANICAL ENGINEERING TECHNICIANS,1,0,0,1,0,0,0,55404.36,36608,Y,Year,2014,N,COLLEGE STATION,COLLEGE STATION,BRAZOS,TX,TX,30.65212,-96.341012,30.571905,-96.29882
96,CERTIFIED-WITHDRAWN,20-04-2015,03-10-2016,H-1B,30-09-2018,"AVIDXCHANGE, INC.",SENIOR PRODUCT MANAGER-PLATFORM & INTEGRATIONS,"COMPUTER OCCUPATIONS, ALL OTHER",1,0,0,1,0,0,0,90000,77563,Y,Year,2014,N,CHARLOTTE,SANTA CLARA,SANTA CLARA,NC,CA,35.214693,-80.82665,37.347791,-121.95131
97,CERTIFIED-WITHDRAWN,24-04-2015,03-10-2016,H-1B,31-07-2018,UNIVERSITY OF DELAWARE,PSYCHOLOGIST I,"PSYCHOLOGY TEACHERS, POSTSECONDARY",1,0,1,0,0,0,0,58146,58130,Y,Year,2014,N,NEWARK,NEWARK,NEW CASTLE,DE,DE,39.564499,-75.597047,39.564499,-75.597047
98,CERTIFIED-WITHDRAWN,07-05-2015,03-10-2016,H-1B,31-07-2018,UNIVERSITY OF PITTSBURGH,RESEARCH TECHNICIAN,BIOLOGICAL TECHNICIANS,1,0,1,0,0,0,0,31668,28309,Y,Year,2014,N,PITTSBURGH,PITTSBURGH,ALLEGHENY,PA,PA,40.434436,-80.024817,40.463463,-79.94612
99,CERTIFIED-WITHDRAWN,22-05-2015,03-10-2016,E-3 Australian,03-07-2017,"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP",SENIOR LAW CLERK,LAWYERS,1,1,0,0,0,0,0,170000,124072,Y,Year,2015,U,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.759511,-73.99019,40.759511,-73.99019
100,CERTIFIED-WITHDRAWN,10-06-2015,03-10-2016,H-1B,30-06-2018,BANNER MEDICAL GROUP,HOSPITALIST,"PHYSICIANS AND SURGEONS, ALL OTHER",1,0,0,0,0,1,0,200000,100235,Y,Year,2014,N,PHOENIX,MESA,MARICOPA,AZ,AZ,33.466392,-112.04875,33.400306,-111.72452
101,CERTIFIED-WITHDRAWN,14-07-2015,03-10-2016,H-1B,26-07-2018,SCIENTIFIC TECHNOLOGIES CORPORATION,SOFTWARE ENGINEER (.NET),"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,80000,74984,Y,Year,2015,N,SCOTTSDALE,SCOTTSDALE,MARICOPA,AZ,AZ,33.566635,-111.89337,33.566635,-111.89337
102,CERTIFIED-WITHDRAWN,23-07-2015,03-10-2016,H-1B,11-08-2018,"ADVANCED MICRO DEVICES, INC.",MEMBER OF TECHNICAL STAFF (MTS) DESIGN ENGINEER,"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",1,0,1,0,0,0,0,118000,110597,Y,Year,2015,N,SUNNYVALE,SUNNYVALE,SANTA CLARA,CA,CA,37.189396,-121.705327,37.189396,-121.705327
103,CERTIFIED-WITHDRAWN,28-07-2015,03-10-2016,H-1B,30-09-2017,UNIVERSITY OF CONNECTICUT,UNIVERSITY POSTDOCTORAL FELLOW,MATERIALS SCIENTISTS,1,0,1,0,0,0,0,44100,41912,Y,Year,2015,N,STORRS,STORRS,TOLLAND,CT,CT,41.80743,-72.25025,41.80743,-72.25025
104,CERTIFIED-WITHDRAWN,28-07-2015,03-10-2016,H-1B,12-10-2018,UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER AT SAN ANTONIO,POSTDOCTORAL FELLOW,BIOCHEMISTS AND BIOPHYSICISTS,1,1,0,0,0,0,0,42578,42578,Y,Year,2015,N,SAN ANTONIO,SAN ANTONIO,BEXAR,TX,TX,29.499454,-98.57166,29.499454,-98.57166
105,CERTIFIED-WITHDRAWN,24-08-2015,03-10-2016,H-1B,04-01-2019,THE NEW MEDIA CONSORTIUM,EDUCATIONAL RESEACHER,INSTRUCTIONAL COORDINATORS,1,1,0,0,0,0,0,32.98,32.98,N,Hour,2015,N,AUSTIN,AUSTIN,TRAVIS COUNTY,TX,TX,30.287739,-97.8022,30.287739,-97.8022
106,CERTIFIED-WITHDRAWN,15-09-2015,03-10-2016,H-1B,30-09-2018,"OCCUPATIONAL HEALTH CENTERS OF GEORGIA, P.C.",CENTER MEDICAL DIRECTOR,"PHYSICIANS AND SURGEONS, ALL OTHER",1,0,0,0,0,1,0,170000,165422,Y,Year,2015,N,ADDISON,DULUTH,GWINNETT,TX,GA,32.96129,-96.83751,34.020621,-84.14294
107,CERTIFIED-WITHDRAWN,16-09-2015,03-10-2016,H-1B,16-12-2018,DELL MARKETING L.P.,BUSINESS SYSTEMS SENIOR ADVISOR,"BUSINESS OPERATIONS SPECIALISTS, ALL OTHER",1,0,1,0,0,0,0,103600,89064,Y,Year,2015,N,ROUND ROCK,WELLESLEY,NORFOLK,TX,MA,30.656817,-97.602552,42.313329,-71.27649
108,CERTIFIED-WITHDRAWN,17-09-2015,03-10-2016,H-1B,30-09-2018,LSU HEALTH SCIENCES CENTER/NEW ORLEANS,POSTDOCTORAL FELLOW,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",1,0,0,0,0,1,0,43000,41267,Y,Year,2015,N,NEW ORLEANS,NEW ORLEANS,ORLEANS PARISH,LA,LA,29.956804,-90.07757,29.956804,-90.07757
109,CERTIFIED-WITHDRAWN,24-09-2015,03-10-2016,H-1B,30-09-2017,"J.B. HUNT TRANSPORT SERVICES, INC.",PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,0,0,0,0,1,0,61006,61006,Y,Year,2015,N,LOWELL,LOWELL,BENTON,AR,AR,36.247575,-94.11371,36.247575,-94.11371
110,CERTIFIED-WITHDRAWN,16-10-2015,03-10-2016,H-1B,08-11-2016,LAWRENCE BERKELEY NATIONAL LABORATORY,CHEMIST POSTDOC FELLOW,BIOCHEMISTS AND BIOPHYSICISTS,1,0,0,0,0,1,0,49476,49400,Y,Year,2015,N,BERKELEY,BERKELEY,ALAMEDA,CA,CA,37.866825,-122.253582,37.866825,-122.253582
111,CERTIFIED-WITHDRAWN,27-10-2015,03-10-2016,H-1B,26-04-2019,LENDINGCLUB CORPORATION,SENIOR USER EXPERIENCE (UX) DESIGNER,COMMERCIAL AND INDUSTRIAL DESIGNERS,1,0,1,0,0,0,0,140000,92123,Y,Year,2015,N,SAN FRANCISCO,SAN FRANCISCO,SAN FRANCISCO,CA,CA,37.789228,-122.3957,37.789228,-122.3957
112,CERTIFIED-WITHDRAWN,04-11-2015,03-10-2016,H-1B,12-11-2018,"ALPHADETAIL, INC.",SENIOR MANAGER,SALES MANAGERS,1,0,0,0,0,0,1,90000,76253,Y,Year,2015,N,SAN MATEO,SAN MATEO,SAN MATEO,CA,CA,37.554335,-122.27032,37.554335,-122.27032
113,CERTIFIED-WITHDRAWN,18-11-2015,03-10-2016,H-1B,30-11-2018,OOYALA INC.,SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,125000,120349,Y,Year,2015,N,SANTA CLARA,SANTA CLARA,SANTA CLARA,CA,CA,37.39324,-121.96066,37.39324,-121.96066
114,CERTIFIED-WITHDRAWN,18-12-2015,03-10-2016,H-1B,17-12-2018,ARKSTEK INC,CLINICAL SAS PROGRAMMER,"ENGINEERS, ALL OTHER",1,0,0,0,0,0,1,70494,57741,Y,Year,2015,Y,AURORA,RALEIGH,WAKE,CO,NC,39.665637,-104.83421,35.844753,-78.63263
115,CERTIFIED-WITHDRAWN,14-01-2016,03-10-2016,H-1B,31-03-2019,THE UNIVERSITY OF CHICAGO,POSTDOCTORAL SCHOLAR,BIOCHEMISTS AND BIOPHYSICISTS,1,1,0,0,0,0,0,45000,40810,Y,Year,2015,N,CHICAGO,CHICAGO,COOK,IL,IL,41.779384,-87.60544,41.779384,-87.60544
116,CERTIFIED-WITHDRAWN,22-01-2016,03-10-2016,H-1B,03-03-2019,THE UNIVERSITY OF CHICAGO,RESEARCH SPECIALIST 2,"MEDICAL SCIENTISTS, EXCEPT EPIDEMIOLOGISTS",1,0,1,0,0,0,0,41267,41267,Y,Year,2015,N,CHICAGO,CHICAGO,COOK,IL,IL,41.779384,-87.60544,41.779384,-87.60544
117,CERTIFIED-WITHDRAWN,26-01-2016,03-10-2016,H-1B,25-07-2019,"FRONTIER TECHNOLOGIES, LLC",SYSTEMS ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,61000,60133,Y,Year,2015,Y,NAPERVILLE,RICHARDSON,DALLAS,IL,TX,41.794885,-88.16188,32.948974,-96.70916
118,CERTIFIED-WITHDRAWN,11-02-2016,03-10-2016,H-1B,08-08-2019,DEUTSCHE BANK SECURITIES INC.,ASSOCIATE,FINANCIAL ANALYSTS,1,1,0,0,0,0,0,175000,94640,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.706019,-74.00858,40.706019,-74.00858
119,CERTIFIED-WITHDRAWN,12-02-2016,03-10-2016,H-1B,08-08-2019,DEUTSCHE BANK NEW YORK BRANCH,ASSISTANT VICE PRESIDENT,HUMAN RESOURCES SPECIALISTS,1,1,0,0,0,0,0,100000,73216,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.706019,-74.00858,40.706019,-74.00858
120,CERTIFIED-WITHDRAWN,18-02-2016,03-10-2016,H-1B,21-03-2019,"HOME DEPOT USA, INC.",WEB OPERATIONS ENGINEER II,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,100000,93371,Y,Year,2015,N,ATLANTA,ATLANTA,COBB,GA,GA,33.87507,-84.46615,33.87507,-84.46615
121,CERTIFIED-WITHDRAWN,25-02-2016,03-10-2016,H-1B,25-08-2019,CITADEL INFORMATION SERVICES INC.,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60600,51730,Y,Year,2015,Y,ISELIN,EDISON,MIDDLESEX,NJ,NJ,40.571504,-74.3183,40.529355,-74.33844
122,CERTIFIED-WITHDRAWN,27-02-2016,03-10-2016,H-1B,23-08-2019,CITADEL INFORMATION SERVICES INC.,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60550,58053,Y,Year,2015,Y,ISELIN,NEW YORK,NEW YORK,NJ,NY,40.571504,-74.3183,40.706019,-74.00858
123,CERTIFIED-WITHDRAWN,28-02-2016,03-10-2016,H-1B,26-08-2019,CITADEL INFORMATION SERVICES INC.,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60300,58053,Y,Year,2015,Y,ISELIN,JERSEY CITY,HUDSON,NJ,NJ,40.571504,-74.3183,40.721602,-74.04703
124,CERTIFIED-WITHDRAWN,29-02-2016,03-10-2016,H-1B,29-08-2019,CITADEL INFORMATION SERVICES INC.,PROGRAMMER ANALYST,COMPUTER PROGRAMMERS,1,1,0,0,0,0,0,60300,58053,Y,Year,2015,Y,ISELIN,NEW YORK,NEW YORK,NJ,NY,40.571504,-74.3183,40.812665,-73.95499
125,CERTIFIED-WITHDRAWN,01-03-2016,03-10-2016,H-1B,27-08-2019,"BERENSON & COMPANY, LLC",INVESTMENT BANKING ANALYST,FINANCIAL ANALYSTS,1,1,0,0,0,0,0,70000,65187,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.76,-73.96,40.76,-73.96
126,CERTIFIED-WITHDRAWN,01-03-2016,03-10-2016,H-1B,27-08-2019,"BERENSON & COMPANY, LLC",INVESTMENT BANKING ANALYST,FINANCIAL ANALYSTS,1,1,0,0,0,0,0,80000,65187,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.76,-73.96,40.76,-73.96
127,CERTIFIED-WITHDRAWN,03-03-2016,03-10-2016,H-1B,01-08-2019,KAIZEN TECHNOLOGIES INC.,SYSTEMS ADMINISTRATOR,NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,1,1,0,0,0,0,0,72000,60112,Y,Year,2015,Y,EDISON,PARSIPPANY,MORRIS,NJ,NJ,40.575503,-74.35781,40.860149,-74.4171
128,CERTIFIED-WITHDRAWN,04-03-2016,03-10-2016,H-1B,04-04-2017,LAWRENCE BERKELEY NATIONAL LABORATORY,SOFTWARE DEVELOPER 3,"SOFTWARE DEVELOPERS, APPLICATIONS, R&D",1,1,0,0,0,0,0,95700,78312,Y,Year,2016,N,BERKELEY,BERKELEY,ALAMEDA,CA,CA,37.866825,-122.253582,37.866825,-122.253582
129,CERTIFIED-WITHDRAWN,04-03-2016,03-10-2016,H-1B,02-09-2019,CITADEL INFORMATION SERVICES INC.,IT PROJECT MANAGER,"COMPUTER OCCUPATIONS, ALL OTHER",1,1,0,0,0,0,0,76000,67808,Y,Year,2015,Y,ISELIN,NEW YORK,NEW YORK,NJ,NY,40.571504,-74.3183,40.739022,-73.98205
130,CERTIFIED-WITHDRAWN,08-03-2016,03-10-2016,H-1B,05-09-2019,"MAVERICK FAMILY DENTAL, P.C.",GENERAL DENTIST,"DENTISTS, GENERAL",1,1,0,0,0,0,0,105851,105851,Y,Year,2015,N,BOSTON,MANCHESTER,HARTFORD,MA,CT,42.378297,-71.0255,41.778888,-72.52384
131,CERTIFIED-WITHDRAWN,08-03-2016,03-10-2016,H-1B,07-03-2019,"LIBSYS, INC.",SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,0,1,98500,50856,Y,Year,2015,N,NAPERVILLE,NAPERVILLE,DU PAGE,IL,IL,41.794885,-88.16188,41.794885,-88.16188
132,CERTIFIED-WITHDRAWN,08-03-2016,03-10-2016,H-1B,16-03-2019,"MARKETO, INC.",STAFF SOFTWARE ENGINEER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,0,0,0,0,1,0,110701,96866,Y,Year,2015,N,SAN MATEO,SAN MATEO,SAN MATEO,CA,CA,37.554335,-122.27032,37.554335,-122.27032
133,CERTIFIED-WITHDRAWN,09-03-2016,03-10-2016,H-1B,05-09-2019,MIZUHO TRUST & BANKING CO. (USA),"VP, SENIOR PREPARER OF FINANCIAL STATEMENTS",ACCOUNTANTS AND AUDITORS,1,1,0,0,0,0,0,100000,96741,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.758667,-73.98024,40.758667,-73.98024
134,CERTIFIED-WITHDRAWN,09-03-2016,03-10-2016,H-1B,20-03-2019,"CIBER, INC.",DBE DEVELOPER/ARCHITECT,"COMPUTER OCCUPATIONS, ALL OTHER",1,0,0,1,0,0,0,93974,73882,Y,Year,2015,N,GREENWOOD VILLAGE,WARSAW,KOSCIUSKO,CO,IN,39.610431,-104.88139,41.2281,-85.85778
135,CERTIFIED-WITHDRAWN,10-03-2016,03-10-2016,H-1B,08-09-2019,"MARUTHI TECHNOLOGIES, LLC",SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,65100,65042,Y,Year,2015,Y,DALLAS,DALLAS,DALLAS,TX,TX,32.946069,-96.794496,32.946069,-96.794496
136,CERTIFIED-WITHDRAWN,10-03-2016,03-10-2016,H-1B,08-09-2019,WILSON SPORTING GOODS CO.,IT PROJECT MANAGER,"COMPUTER OCCUPATIONS, ALL OTHER",1,1,0,0,0,0,0,71115,71115,Y,Year,2015,N,CHICAGO,CHICAGO,COOK,IL,IL,41.99623,-87.81091,41.99623,-87.81091
137,CERTIFIED-WITHDRAWN,10-03-2016,03-10-2016,H-1B,08-09-2019,"MARUTHI TECHNOLOGIES, LLC",SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,65100,65042,Y,Year,2015,Y,DALLAS,DALLAS,DALLAS,TX,TX,32.946069,-96.794496,32.946069,-96.794496
138,CERTIFIED-WITHDRAWN,10-03-2016,03-10-2016,H-1B,08-09-2019,"MARUTHI TECHNOLOGIES, LLC",SOFTWARE DEVELOPER,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,65100,65042,Y,Year,2015,Y,DALLAS,DALLAS,DALLAS,TX,TX,32.946069,-96.794496,32.946069,-96.794496
139,CERTIFIED-WITHDRAWN,11-03-2016,03-10-2016,H-1B,03-09-2019,DEUTSCHE BANK TRUST COMPANY AMERICAS,ASSOCIATE,FINANCIAL ANALYSTS,1,1,0,0,0,0,0,167100,94640,Y,Year,2015,N,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.706019,-74.00858,40.757986,-73.97267
140,CERTIFIED-WITHDRAWN,11-03-2016,03-10-2016,H-1B,08-09-2019,DB GLOBAL TECHNOLOGY INC.,ASSOCIATE,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,80000,79498,Y,Year,2015,N,CARY,CARY,WAKE,NC,NC,35.797882,-78.79702,35.797882,-78.79702
141,CERTIFIED-WITHDRAWN,11-03-2016,03-10-2016,H-1B,08-09-2019,DB GLOBAL TECHNOLOGY INC.,ASSOCIATE,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,95000,79498,Y,Year,2015,N,CARY,CARY,WAKE,NC,NC,35.797882,-78.79702,35.797882,-78.79702
142,CERTIFIED-WITHDRAWN,12-03-2016,03-10-2016,H-1B,21-03-2019,KAIZEN TECHNOLOGIES INC.,SYSTEM ANALYST,COMPUTER SYSTEMS ANALYSTS,1,1,0,0,0,0,0,75000,74922,Y,Year,2015,Y,EDISON,SAN MATEO,SAN MATEO,NJ,CA,40.575503,-74.35781,37.551586,-122.32773
143,CERTIFIED-WITHDRAWN,12-03-2016,03-10-2016,H-1B,01-07-2019,KAIZEN TECHNOLOGIES INC.,PROGRAMMER ANALYST,"SOFTWARE DEVELOPERS, APPLICATIONS",1,1,0,0,0,0,0,64000,63877,Y,Year,2015,Y,EDISON,EDISON,MIDDLESEX,NJ,NJ,40.575503,-74.35781,40.575503,-74.35781
144,CERTIFIED-WITHDRAWN,14-03-2016,03-10-2016,E-3 Australian,28-08-2018,"SKADDEN, ARPS, SLATE, MEAGHER & FLOM LLP",ASSOCIATE,LAWYERS,1,0,1,0,0,0,0,280000,210704,Y,Year,2015,U,NEW YORK,NEW YORK,NEW YORK,NY,NY,40.759511,-73.99019,40.759511,-73.99019
